link,price,pid,name
/karbonn-titanium-k900/p/itmdyfuu3nsywmp5?pid=MOBDYFUR4WZHNBE4&srno=b_2274&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 1,740",MOBDYFUR4WZHNBE4,Karbonn Titanium K900 (Black)
/iball-andi-3-5-kke-super-black/p/itmdtpdbth4gtpva?pid=MOBDTPANYDYZ3GSU&srno=b_2275&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,N/A,MOBDTPANYDYZ3GSU,iBall Andi 3.5 kke Super black (Black)
/intex-platinum-matrix/p/itmdwqzacra2hx7h?pid=MOBDXBY5XYDHGGPN&srno=b_2276&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 1,379",MOBDXBY5XYDHGGPN,Intex Platinum Matrix (White)
/karbonn-a90s/p/itmdyygyxdh8e8yg?pid=MOBDYYFY5TJDVR7D&srno=b_2277&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 4,090",MOBDYYFY5TJDVR7D,Karbonn A90S (Black)
/micromax-canvas-2-plus-a110q/p/itmdv6f6ggghgxpv?pid=MOBDH6HCBFRERSHF&srno=b_2278&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 9,990",MOBDH6HCBFRERSHF,Micromax Canvas 2 Plus A110Q (White)
/zen-701-amaze-full-hd/p/itmdz7yycetvd6yf?pid=MOBDZ7YYHAHMMHMW&srno=b_2279&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 9,250",MOBDZ7YYHAHMMHMW,Zen 701 Amaze 701 Full Hd (Black)
/karbonn-k90/p/itmdsu3pccffafgs?pid=MOBDSU2GZMJYGQDX&srno=b_2280&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 1,474",MOBDSU2GZMJYGQDX,Karbonn K90 (White & Silver)
/zook-keypad/p/itmdyp53zzfarzqz?pid=MOBDYP53E38JU7GY&srno=b_2562&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,"Rs. 1,600",MOBDYP53E38JU7GY,Zook Keypad (White)
/celkon-rahmanishq-a-r-45/p/itmdq295ep2wfv2f?pid=MOBDQ295BGGZEZNV&srno=b_2563&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,N/A,MOBDQ295BGGZEZNV,Celkon Rahmanishq A.R 45 (White)
/karbonn-smart-a5/p/itmdn49yhg7hd3pe?pid=MOBDN48ZTY6YGZV8&srno=b_2564&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,"Rs. 3,340",MOBDN48ZTY6YGZV8,Karbonn Smart A5* (Black)
/lg-g-pro-e988/p/itmdv6ewemzzj7cm?pid=MOBDMCNQ5YJNU67M&srno=b_2565&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,"Rs. 29,474",MOBDMCNQ5YJNU67M,LG G Pro E988 (White)
/intex-cloud-x5/p/itmdqqbaggjmnzxy?pid=MOBDT5562YH3DGQF&srno=b_2522&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,N/A,MOBDT5562YH3DGQF,Intex Cloud X5 (Blue)
