link,price,pid,name
http://www.amazon.in/Apple-iPhone-5s-Silver-16GB/dp/B00FXLCG7G,49600,B00FXLCG7G,"Apple iPhone 5s (Silver, 16GB)"
http://www.amazon.in/Karbonn-K-Phone-1-Black-Blue/dp/B00CM9W7L2,1599,B00CM9W7L2,Karbonn K-Phone 1 (Black-Blue)
http://www.amazon.in/TLX-Portable-Charger-2200mah-Smartphones/dp/B00K6F9FNC,379,B00K6F9FNC,TLX Power Bank USB Portable Charger 2200mah For Mobiles Smartphones (Black/Blue)
http://www.amazon.in/Asus-Zenfone-16GB-Champagne-Gold/dp/B00LOBL2AQ,17240,B00LOBL2AQ,"Asus Zenfone 6 (16GB, Champagne Gold)"
http://www.amazon.in/Nokia-130-Dual-SIM-Black/dp/B00NXM5LII,1799,B00NXM5LII,"Nokia 130 (Dual SIM, Black)"
http://www.amazon.in/Micromax-Canvas-Win-W121-White/dp/B00N8N9NO0,7999,B00N8N9NO0,Micromax Canvas Win W121 (White)
http://www.amazon.in/Micromax-Canvas-Doodle-A111-White/dp/B00CU88RYQ,8499,B00CU88RYQ,Micromax Canvas Doodle A111 (White)
http://www.amazon.in/Lenovo-A516-Grey/dp/B00GWBVU96,5599,B00GWBVU96,Lenovo A516 (Grey)
http://www.amazon.in/Nokia-XL-Green-Dual-SIM/dp/B00IXD0J4S,8630,B00IXD0J4S,"Nokia XL (Green, Dual SIM)"
http://www.amazon.in/Samsung-Galaxy-Star-SM-G130E-Charcoal/dp/B00M6T9JPA,4449,B00M6T9JPA,Samsung Galaxy Star 2 SM-G130E (Iris Charcoal)
http://www.amazon.in/Sony-Xperia-C3-Starry-Black/dp/B00LWT6EF8,19180,B00LWT6EF8,Sony Xperia C3 Dual (Starry Black)
http://www.amazon.in/Sony-Xperia-E1-Dual-Black/dp/B00J06WWFQ,6779,B00J06WWFQ,"Sony Xperia E1 (Dual SIM, Black)"
http://www.amazon.in/Apple-iPhone-Plus-Space-Gray/dp/B00O4WUMJY,62500,B00O4WUMJY,"Apple iPhone 6 Plus (Space Gray, 16GB)"
http://www.amazon.in/Intex-Aqua-T2-Grey/dp/B00O7FVYK4,3205,B00O7FVYK4,Intex Aqua T2 (Grey)
http://www.amazon.in/Sony-Xperia-T2-Ultra-Black/dp/B00I0SMCV4,23290,B00I0SMCV4,"Sony Xperia T2 Ultra (Dual SIM, Black)"
http://www.amazon.in/LG-G-PRO-2-D838-TITAN/dp/B00KNO7PFG,29999,B00KNO7PFG,LG G PRO-2 D838 ( TITAN )
http://www.amazon.in/Sony-Xperia-Z1-Black/dp/B00FB374Q4,32213,B00FB374Q4,Sony Xperia Z1 (Black)
http://www.amazon.in/XOLO-Q3000-Xolo-Black/dp/B00HM4UBOM,19999,B00HM4UBOM,Xolo Q3000 (Black)
http://www.amazon.in/Nokia-Lumia-530-Dual-Orange/dp/B00MLR3A9I,5657,B00MLR3A9I,"Nokia Lumia 530 (Dual SIM, Orange)"
http://www.amazon.in/Micromax-Unite-A092-Fiery-Red/dp/B00L7EACCO,5255,B00L7EACCO,Micromax Unite A092 (Fiery Red)
http://www.amazon.in/HTC-Desire-310-Dual-White/dp/B00LGZ91XK,9044,B00LGZ91XK,"HTC Desire 310 (Dual SIM, 1GB RAM, White)"
http://www.amazon.in/Sony-Xperia-SP-C5302-White/dp/B00CPKPAVC,12955,B00CPKPAVC,Sony Xperia SP C5302 (White)
http://www.amazon.in/Lava-Iris-310-Style-Brown/dp/B00MFFU4GI,2999,B00MFFU4GI,Lava Iris 310 Style (Brown)
http://www.amazon.in/Salora-KC11-White-and-Purple/dp/B00NTS4NVW,849,B00NTS4NVW,Salora KC11 (White and Purple)
http://www.amazon.in/Samsung-Galaxy-Advance-SM-G350E-Black/dp/B00M6T9EXW,6490,B00M6T9EXW,Samsung Galaxy Star Advance SM-G350E (Black)
http://www.amazon.in/Sony-Xperia-SP-C5302-Red/dp/B00CZ51R8W,15990,B00CZ51R8W,Sony Xperia SP C5302 (Red)
http://www.amazon.in/Sony-Xperia-Z2-Purple/dp/B00KBNADKI,39990,B00KBNADKI,Sony Xperia Z2 (Purple)
http://www.amazon.in/Karbonn-Titanium-S7-Black/dp/B00H4WL90W,9699,B00H4WL90W,Karbonn Titanium S7 (Black)
http://www.amazon.in/XOLO-Q1000s-Plus-Q1000S-Black/dp/B00N3S0ZBU,11499,B00N3S0ZBU,Xolo Q1000S Plus (Black)
http://www.amazon.in/HTC-Desire-210-Black/dp/B00KCIIW0A,7250,B00KCIIW0A,HTC Desire 210 (Black)
http://www.amazon.in/HTC-Desire-310-Dual-Matte/dp/B00JHKYLC2,8900,B00JHKYLC2,HTC Desire 310 Dual (Matte Blue)
http://www.amazon.in/Karbonn-S2-Plus-Black/dp/B00L7QZSQC,5390,B00L7QZSQC,Karbonn S2 Plus (Black)
http://www.amazon.in/Micromax-A065-Bolt-Black/dp/B00MOF84RA,3980,B00MOF84RA,Micromax Bolt A065 Black
http://www.amazon.in/Samsung-Galaxy-S4-GT-I9500-White/dp/B00CL4HXQC,27990,B00CL4HXQC,Samsung Galaxy S4 GT-I9500 (White Frost)
http://www.amazon.in/HTC-Desire-816-White/dp/B00KNOIT8S,24124,B00KNOIT8S,HTC Desire 816 (White)
http://www.amazon.in/XOLO-Play-8X-1100-Xolo/dp/B00NA3C3WW,19800,B00NA3C3WW,Xolo Play 8X-1100
http://www.amazon.in/Sony-Xperia-Z1-White/dp/B00FB376OE,30980,B00FB376OE,Sony Xperia Z1 (White)
http://www.amazon.in/Micromax-Canvas-Fire-A104-White-Silver/dp/B00MTFU6TO,6490,B00MTFU6TO,Micromax Canvas Fire A104 (White-Silver)
http://www.amazon.in/Intex-Aqua-Y2-Android-Version/dp/B00NPYM3US,4220,B00NPYM3US,Intex Aqua Y2 Latest Android Version 4.4 Kitkat (Dual SIM) Smart Mobile Phone - Black
http://www.amazon.in/Lenovo-P780-Deep-Black-8GB/dp/B00FPN3KJA,16790,B00FPN3KJA,"Lenovo P780 (Deep Black, 8GB)"
http://www.amazon.in/Lenovo-A850-Black/dp/B00GWBW11W,8999,B00GWBW11W,Lenovo A850 (Black)
http://www.amazon.in/Sony-Xperia-Z1-Purple/dp/B00FB3781K,31990,B00FB3781K,Sony Xperia Z1 (Purple)
http://www.amazon.in/Micromax-Canvas-Elanza-A93-Silver/dp/B00J60DPKC,6367,B00J60DPKC,Micromax Canvas Elanza A93 (Black Silver)
http://www.amazon.in/Micromax-A24-Bolt-Champange/dp/B00I060SSA,2599,B00I060SSA,Micromax Bolt A24 (Champange)
http://www.amazon.in/HTC-Desire-210-White/dp/B00K74QBQQ,7500,B00K74QBQQ,HTC Desire 210 (White)
http://www.amazon.in/XOLO-Q1200-Xolo-Black/dp/B00L3WC6BU,8249,B00L3WC6BU,Xolo Q1200 (Black)
http://www.amazon.in/Intex-Aqua-i5-HD-Black/dp/B00KDE3KDW,6999,B00KDE3KDW,Intex Aqua i5 HD (Black)
http://www.amazon.in/Lava-KKT-Uno-Grey/dp/B00K0J1YCO,1329,B00K0J1YCO,Lava KKT Uno - Grey
http://www.amazon.in/Sony-Xperia-M2-Dual-Black/dp/B00JYD4BQS,15094,B00JYD4BQS,"Sony Xperia M2 (Dual SIM, Black)"
http://www.amazon.in/Nokia-107-Dual-SIM-Red/dp/B00ESZ8HYO,1573,B00ESZ8HYO,"Nokia 107 (Dual SIM, Red)"
http://www.amazon.in/Samsung-Metro-312-SM-B312E-White/dp/B00LPELTSM,2150,B00LPELTSM,Samsung Metro 312 SM-B312E (White)
http://www.amazon.in/Apple-iPhone-Plus-Gold-16GB/dp/B00O4WUI7U,62500,B00O4WUI7U,"Apple iPhone 6 Plus (Gold, 16GB)"
http://www.amazon.in/Sony-Xperia-Z2-White/dp/B00KAXKGTW,37999,B00KAXKGTW,Sony Xperia Z2 (White)
http://www.amazon.in/HTC-Desire-816-Dual-Dark/dp/B00KC86AZY,24100,B00KC86AZY,HTC Desire 816 Dual Sim (Dark Grey)
http://www.amazon.in/Sony-Xperia-Z2-Black/dp/B00K81HIDS,38549,B00K81HIDS,Sony Xperia Z2 (Black)
http://www.amazon.in/Samsung-Galaxy-S5-Shimmery-White/dp/B00JB6RXBI,34900,B00JB6RXBI,Samsung Galaxy S5 (Shimmery White)
http://www.amazon.in/Micromax-A093-Fire-Black-Gold/dp/B00LUQXRJE,5530,B00LUQXRJE,Micromax Fire A093 (Black-Gold)
http://www.amazon.in/HTC-Desire-820-Milky-Way-Gray/dp/B00PAZ5X5W,24499,B00PAZ5X5W,HTC Desire 820 Milky-Way Gray
http://www.amazon.in/Nokia-XL-Yellow-Dual-SIM/dp/B00IXD0UF6,7885,B00IXD0UF6,"Nokia XL (Yellow, Dual SIM)"
http://www.amazon.in/Asus-Zenfone-Champagne-Gold-16GB/dp/B00LOBKMKC,12500,B00LOBKMKC,"Asus Zenfone 5 (Champagne Gold, 16GB)"
http://www.amazon.in/BlackBerry-Q10-Black/dp/B00DDSLC9Y,24600,B00DDSLC9Y,BlackBerry Q10 (Black)
http://www.amazon.in/Nokia-X-Dual-SIM-White/dp/B00IKC5JWY,5359,B00IKC5JWY,"Nokia X (Dual SIM, White)"
http://www.amazon.in/Nokia-107-Dual-SIM-White/dp/B00ESZ8EUQ,1699,B00ESZ8EUQ,"Nokia 107 (Dual SIM, White)"
http://www.amazon.in/Samsung-Galaxy-GT-I9192-White-Frost/dp/B00DY3Y4ZM,16699,B00DY3Y4ZM,Samsung Galaxy S4 Mini GT-I9192 (White Frost)
http://www.amazon.in/Samsung-Galaxy-Duos-SM-G313HU-Grey/dp/B00NAXZGPS,7490,B00NAXZGPS,Samsung Galaxy S Duos 3 SM-G313HU (Grey)
http://www.amazon.in/Lenovo-S850-LENOVO-BLUE/dp/B00OZLF3DO,13840,B00OZLF3DO,LENOVO S850 (BLUE)
